Raw,CD-Malaya,CD-RE,Polarity
#NAME?,- an <allcaps> ecmo</allcaps> will juga jadi dikuatkuasmasuk beberapa localities masuk pahang bermula esok, an movement control order will also be enforced in several localities in pahang starting tomorrow,-1
https://t.co/bC2UgJzb32,<url>,,0
"Highlights from Defence Minister Datuk Seri @IsmailSabri60's COVID-19 media statement: 

- an movement control order will be enforcedâ€¦ https://t.co/7iAjRSJTMq",sorotan dari pertahanan Menteri datuk seri <user>'s <allcaps> covid</allcaps> - <number> media : - an <allcaps> ecmo</allcaps> akan dikuatkuasakan... <url>,highlights from defence minister datuk seri s covid media statement an movement control order will be enforced ,-1
"Malaysia's number of new #COVID19 cases reached over 3,000, after the Health Ministry recorded 3,142 infections todâ€¦ https://t.co/eQ3RA4ZwOI","malaysia' s nombor daripada baru <hashtag>covid19</hashtag> cases reached lebih <number>, selepas kesihatan yang kementerian catat <number> infections tod... <url>",malaysia s number of new cases reached over after the health ministry recorded infections tod ,-1
"#PetrolPrices: Here are the petrol prices effective tomorrow, April 29th until May 5th.

#RON95 remains at RM 2.05â€¦ https://t.co/ggCTmxKB1n","<hashtag>petrolprices</hashtag>: di sini adalah yang puteri petrol berkesan esok, <date> sehingga mei 5 th . <hashtag>ron95</hashtag> pada kekal <money> ... <url>", here are the petrol prices effective tomorrow april th until may th remains at rm ,0
Vaksin AstraZeneca akan diberi secara sukarela bermula di Kuala Lumpur dan Selangor dengan konsep siapa cepat dia dâ€¦ https://t.co/4iWA5QQzmX,vaksin astrazeneca akan diberi secara sukarela bermula di kuala lumpur dan selangor konsep dengan siapa dia cepat di ... <url>,vaksin astrazeneca akan diberi secara sukarela bermula di kuala lumpur dan selangor dengan konsep siapa cepat dia d ,1
There are mixed reactions from parents about the government's move to impose a nationwide school closure after theâ€¦ https://t.co/hofxkxxIq7,Di sana terdapat reaksi bercampur dari ibu bapa kira-kira kerajaan yang bergerak ke seluruh negara pentutupan yang selepas ... <url>,there are mixed reactions from parents about the government s move to impose a nationwide school closure after the ,0
"Highlights from Education Minister Dr @RadziJidin's PC:

- the PT3 examination for 2021 has been cancelled

- startâ€¦ https://t.co/tA4XtroV7t",sorotan dari Menteri dr <user>' s picu : - yang pt3 pemeriksaan untuk <number> telah dibatalkan - mula ... <url>,highlights from education minister dr s pc the pt examination for has been cancelled start ,0
Dakwaan kononnya larangan rentas daerah berkuat kuasa 5 hari sebelum &amp; selepas Aidilfitri yang sedang viral adalahâ€¦ https://t.co/u6OJ3k6BiH,dakwaan kononnya rentas larangan berkuat kuasa <nombor> hari sebelum dan selepas aidilfitri yang sedang tular ... <url>,dakwaan kononnya larangan rentas daerah berkuat kuasa hari sebelum amp selepas aidilfitri yang sedang viral adalah ,0
Haiqal Hanafi teruja untuk kembali jalani latihan di bawah kendalian Poad Md Kassim https://t.co/hTWFblrl4c https://t.co/O2lcirC0cu,haiqal hanafi teruja untuk kembali jalani latihan di bawah kendalian fouda md kassim <url> <url>,haiqal hanafi teruja untuk kembali jalani latihan di bawah kendalian poad md kassim ,1
"6 penuntut matrikulasi di Perak yang viral kerana dikompaun RM1,500 ekoran tidak memakai pelitup boleh menarik nafaâ€¦ https://t.co/YlP64FrM3w",<number>penuntut matrikulasi di perak yang tular kerana dikompaun <money>ekoran memakai tidak pelitup boleh nafas... <url>, penuntut matrikulasi di perak yang viral kerana dikompaun rm ekoran tidak memakai pelitup boleh menarik nafa ,0
"Sementara itu, peniaga terlibat memaklumkan, sejumlah individu termasuk selebriti menawarkan bantuan untuk membayarâ€¦ https://t.co/bJEx8dIOg1","sementara itu, penniaga terlibat memmaklumkan, sejumlah individu termasuk selebriti menawarkan bantuan untuk ... <url>",sementara itu peniaga terlibat memaklumkan sejumlah individu termasuk selebriti menawarkan bantuan untuk membayar ,1
"KKM akan nilai semula kes peniaga burger di Kelantan yang dikompaun RM50,000 kerana berniaga melebihi waktu ditetapâ€¦ https://t.co/hMwxUtPNMh",<allcaps>kkm</allcaps> nilai akan kembali ke penniaga burger di kelantan yang dikompaun <money> kerana berniaga ga melebihi ditetap... <url>,kkm akan nilai semula kes peniaga burger di kelantan yang dikompaun rm kerana berniaga melebihi waktu ditetap ,0
Chelsea have posted a 1-all draw at Real Madrid in the first leg of their #UefaChampionsLeague semi finalâ€¦ https://t.co/jASi2nQN7q,chelsea ada dipaparkan a <number> - semua draw pada sebenar madrid yang masuk pertama kali daripada <hashtag> uefachampionsleague</hashtag> separuh kaki akhir ... <url>,chelsea have posted a all draw at real madrid in the first leg of their semi final ,1
"Hereâ€™s the latest update on #COVID19 red zones in Malaysia as of yesterday, April 27. https://t.co/7O5ZZNvFNA","di sini 's terkini yang kemas kini pada <hashtag>covid19</hashtag> ones masuk malaysia daripada semalam, <date> . <url>",here s the latest update on red zones in malaysia as of yesterday april ,0
"Starting this Thursday, Sabah will no longer be under a Recovery Movement Control Order. 

https://t.co/fQiGuCDQRX","khamis ini, sabah tidak akan lebih lama jadi dibawah kawalan perintah pemulihan . <url>",starting this thursday sabah will no longer be under a recovery movement control order ,1
"#NewsWrapUp: Here's a quick recap of our top stories from this evening
https://t.co/uJrUwwl8Fc https://t.co/EacSp9mvFK",<hashtag>newswrapup</hashtag>: di sini' s a cepat recap daripada kami atas cerita dari petang ini <url> <url>, here s a quick recap of our top stories from this evening ,0
Status terkini Perintah Kawalan Pergerakan di Malaysia. https://t.co/CYDy5Ejkub,status terkini perintah kawalan di malaysia . <url>,status terkini perintah kawalan pergerakan di malaysia ,0
"#terkini:  Jumlah kes COVID-19 yang dilaporkan adalah 2,733 kes .

Kes tertinggi direkodkan di Selangor 750, diikutâ€¦ https://t.co/LNKfafYF3i","<hashtag>terkini</hashtag>: Jumlah kes <allcaps> covid</allcaps> - <number> yang dilaporkan <number> kes. kes tertinggi direkodkan selangdi atau <number>, diikut ... <url>", jumlah kes covid yang dilaporkan adalah kes kes tertinggi direkodkan di selangor diikut ,-1
"- Pengekalan status perintah kawalan pergerakan, perintah kawalan pergerakan berpusat dan perintah kawalan pergerakan ini bekuatkuasa 29 April hingga 17 Mei kecuali Sarawak dari 27 April hinggaâ€¦ https://t.co/i2D9emUGHY","- pengekalan status <allcaps>pikap</allcaps> , <allcaps>pkbp</allcaps> dan <allcaps>kppp</allcaps> ini berkuatkuasa <date> hingga <date> hingga sarawak dari <date> hingga ... <url>", pengekalan status perintah kawalan pergerakan perintah kawalan pergerakan berpusat dan perintah kawalan pergerakan ini bekuatkuasa april hingga mei kecuali sarawak dari april hingga ,0
"- Sabah bertukar status daripada perintah kawalan pergerakan kepada perintah kawalan pergerakan berpusat.

- Perlis, Kedah, Perak, Melaka, Negeri Sembilan, Pahang, Terengâ€¦ https://t.co/wvAKTIFZMb","- sabah status daripada <allcaps> kppp</allcaps> kepada <allcaps> pkbp</allcaps>. - perlis, kedah, perak, melaka, negeri sembilan, pahang, tereng... <url>", sabah bertukar status daripada perintah kawalan pergerakan kepada perintah kawalan pergerakan berpusat perlis kedah perak melaka negeri sembilan pahang tereng ,0
"Intipati sidang media Menteri Kanan (Keselamatan) Datuk Seri Ismail Sabri Yaakob berhubung pelaksanaan perintah kawalan pergerakan.

- Semuâ€¦ https://t.co/0gG0GQx0x2",intipati sidang media menteri kanan (keselamatan) datuk seri ismail sabri yaakob pelaksanaan berhubung <allcaps> pikap</allcaps>. - semu ... <url>,intipati sidang media menteri kanan keselamatan datuk seri ismail sabri yaakob berhubung pelaksanaan perintah kawalan pergerakan semu ,0
"Actor Lee Kwang Soo will be leaving â€˜Running Manâ€™, after 11 years on the popular South Korean variety show. 

Accorâ€¦ https://t.co/l6QIJVFyFc","pelakon lee kwang soo akan meninggalkan 'berjalan lelaki', setelah <nombor> tahun yang popular di selatan korean variety tunjukkan. accor ... <url>",actor lee kwang soo will be leaving running man after years on the popular south korean variety show accor ,-1
"Neelofa dikompaun RM20,000, suami dan 20 ahli keluarga turut terima hukuman https://t.co/PrDaYSidxH https://t.co/QsZOrQsqAc","neelofa dikompaun <money>, suami dan <number> ahli keluarga turut <url> <url>",neelofa dikompaun rm suami dan ahli keluarga turut terima hukuman ,-1
"Sila ikut garis panduan kompaun perintah kawalan pergerakan - Takiyuddin Hassan

https://t.co/itpCc6vISh",ikut garis panduan kompaun <allcaps> pikap</allcaps> - takiyuddin hassan <url>,sila ikut garis panduan kompaun perintah kawalan pergerakan takiyuddin hassan ,0
"Bagaimanapun pihaknya jangka jumlah itu akan meningkat kepada 50 peratus dalam tempoh 2 bulan ini.

Ujar Khairy lagâ€¦ https://t.co/CnSfY7bmCT",Akan meningkat jumlah itu akan meningkat <number> peratus dalam <number> bulan ini. ujar khairy lag ... <url>,bagaimanapun pihaknya jangka jumlah itu akan meningkat kepada peratus dalam tempoh bulan ini ujar khairy lag ,-1
"Pendaftaran Program Imunisasi COVID-19 Kebangsaan masih rendah dan belum mencapai sasaran.

Menurut Menteri Penyelaâ€¦ https://t.co/L2Rf4gFhg1",pendaftaran program imunisasi <allcaps> covid</allcaps> - <number> kebangsaan masih dan belum mencapai sasaran. menteri menurut penya lah ... <url>,pendaftaran program imunisasi covid kebangsaan masih rendah dan belum mencapai sasaran menurut menteri penyela ,-1
"Menteri Kanan (Keselamatan), Datuk Seri Ismail Sabri Yaakob bakal mengumumkan hari ini kategori perintah kawalan pergerakan sempena perayaaâ€¦ https://t.co/UBlueOdb88","menteri kanan ( ), datuk seri ismail sabri yaakob bakal mengumumkan hari ini <allcaps>pikap</allcaps> sempena perayaan... <url>",menteri kanan keselamatan datuk seri ismail sabri yaakob bakal mengumumkan hari ini kategori perintah kawalan pergerakan sempena perayaa ,0
"Ia bergantung kepada data ujian klinikal yang akan diterima daripada syarikat farmaseutikal antarabangsa, Pfizer.","ia bergantung kepada data klinikal yang akan diterima oleh syarikat farmaseutikal antarabangsa, pfizer.",ia bergantung kepada data ujian klinikal yang akan diterima daripada syarikat farmaseutikal antarabangsa pfizer ,0
"Kerajaan sedia mempertimbangkan pemberian vaksin COVID-19 kepada penerima berusia bawah 18 tahun.

Kumpulan umur yaâ€¦ https://t.co/wm2C7gTrpk",kerajaan sedia vaksin <allcaps>covid</allcaps> - <number> kepada penerima berusia <number> tahun. kumpulan ya ... <url>,kerajaan sedia mempertimbangkan pemberian vaksin covid kepada penerima berusia bawah tahun kumpulan umur ya ,0
Saingan Piala AFC melibatkan @kda_fc dan @FCTerengganu dipinda oleh AFC https://t.co/qk7ut0d2zT https://t.co/Nyq9V7oO0w,saingan piala <allcaps>afc</allcaps> melibatkan <user> dan <user> dipinda oleh <allcaps> afc</allcaps> <url> <url>,saingan piala afc melibatkan dan dipinda oleh afc ,0
Leicester beat Crystal Palace 2-1 to move closer to Champions League qualification  https://t.co/GZttURVmUS https://t.co/YS6j7wiv9P,leicester mengalahkan istana kristal <number> - <number> bergerak lebih dekat ke juara kelayakan liga <url> <url>,leicester beat crystal palace to move closer to champions league qualification ,1
Kementerian Pendidikan tidak akan hukum murid atau pelajar yang tidak hadir ke sekolah kerana kekhuatiran ibu bapaâ€¦ https://t.co/rsS9W9Epeo,kementerian pendidikan tidak akan hukum murid atau pelajar yang tidak hadir ke sekolah kekhuatiran bapa ibu ... <url>,kementerian pendidikan tidak akan hukum murid atau pelajar yang tidak hadir ke sekolah kerana kekhuatiran ibu bapa ,1
Operasi persekolahan sekolah rendah dan menengah di seluruh negara akan ditutup selepas cuti Hari Raya Aidilfitri bâ€¦ https://t.co/Nk1bQ4xXN9,operasi persekolahan rendah dan menengah negara akan ditutup selepas cuti raya aidilfitri b ... <url>,operasi persekolahan sekolah rendah dan menengah di seluruh negara akan ditutup selepas cuti hari raya aidilfitri b ,0
"- perintah kawalan pergerakanD dikuatkuasakan di kawasan pembinaan Empangan Hidroelektrik Baleh di Kapit, Sarawak mulai esok hingga 6 Mei.","- <allcaps> perintah kawalan pergerakand</allcaps> dikuatkuasatkuasat kawasan pembinaan empangan hidroelektrik boleh di kapit, sarawak mulai esok <date>.", perintah kawalan pergerakand dikuatkuasakan di kawasan pembinaan empangan hidroelektrik baleh di kapit sarawak mulai esok hingga mei ,0
"- perintah kawalan pergerakanD Pusat Komuniti Bersepadu Pulau Serai di Pekan Pahang, ditamatkan esok, lebih awal daripada yang dijadualkan.â€¦ https://t.co/GMPSr1Rg8a","- <allcaps> perintah kawalan pergerakand</allcaps> pusat komuniti bersepadu pulau serai di pekan pahang, atkan esok, lebih awal daripada yang dijadualkan. ... <url>", perintah kawalan pergerakand pusat komuniti bersepadu pulau serai di pekan pahang ditamatkan esok lebih awal daripada yang dijadualkan ,1
"- perintah kawalan pergerakanD Pasar dan Perumahan Sim Sim serta Kampung Sungai Obar Batu 7 di Sandakan, Sabah ditamatkan esok.

- perintah kawalan pergerakanD Kamâ€¦ https://t.co/nfFmamHGxR","- <allcaps> perintah kawalan pergerakand</allcaps> pasar dan perumahan sim sim dan juga kampung sungai obar batu <number> di sanakan, sabah atkan esok. - <allcaps> perintah kawalan pergerakand kamu</allcaps> juga ... <url>", perintah kawalan pergerakand pasar dan perumahan sim sim serta kampung sungai obar batu di sandakan sabah ditamatkan esok perintah kawalan pergerakand kam ,1
- Kerajaan sekat sementara penerbangan keluar/masuk dari India bagi mencegah penuaran varian baru COVID-19 dari negâ€¦ https://t.co/3WcR6PaV2N,- kerajaan sekat keluar sementara/masuk dari india bagi mencegah penuaran ovarian <allcaps>covid</allcaps> - <number> dari neng... <url>, kerajaan sekat sementara penerbangan keluar masuk dari india bagi mencegah penuaran varian baru covid dari neg ,0
"Kenyataan media Menteri Kanan (Keselamatan) Datuk Seri Ismail Sabri Yaakob berhubung pelaksanaan perintah kawalan pergerakan.

- PDRM menahâ€¦ https://t.co/6ZvGVmSBjd",kenyataan media menteri kanan (keselamatan) datuk seri ismail sabri yaakob berhubung pelaksanaan <allcaps>pikap</allcaps>. - <allcaps> pdrm</allcaps> menah ... <url>,kenyataan media menteri kanan keselamatan datuk seri ismail sabri yaakob berhubung pelaksanaan perintah kawalan pergerakan pdrm menah ,0
"#NewsWrapUp: Here's a quick recap of our top stories from this evening
https://t.co/2IR2Zzh01Q https://t.co/1QkU5LbW7K",<hashtag>newswrapup</hashtag>: di sini' s a cepat recap daripada kami atas cerita dari petang ini <url> <url>, here s a quick recap of our top stories from this evening ,0
"Malaysia reported 2,776 new #COVID19 cases today.

Selangor had the most cases (762), followed by Sarawak (615), Keâ€¦ https://t.co/gnP5UOlU13","malaysia melaporkan <number> baru <hashtag> covid19 </hashtag> kes hari ini. selangor mempunyai kes yang paling banyak ( <number>), diikuti dengan sarawak ( <number>), ke ... <url>",malaysia reported new cases today selangor had the most cases followed by sarawak ke ,-1
"Anthony Hopkins won Best Actor Oscar for ""The Father.""","antonim hopkins menang terbaik pelakon oscar untuk ""bapa yang"".",anthony hopkins won best actor oscar for the father ,1
Frances McDormand won best actress for 'Nomadland',frances mcdormmenang menang terbaik pelakon untuk 'nomadland',frances mcdormand won best actress for nomadland ,1
Nomadland has also won Best Picture,nomadland juga telah menang terbaik gambar,nomadland has also won best picture,1
"Here are the results from the 2021 #Oscars 

- Best Director: ChloÃ© Zhao for Nomadland
- Best Supporting Actress: Yâ€¦ https://t.co/4151F7ByoS",di sini adalah keputusan yang dari yang <nombor> <hashtag> oscars</hashtag> - pengarah: cheloe zhao terbaik untuk nomadland terbaik - menyokong: y ... <url>,here are the results from the best director chloÃ© zhao for nomadland best supporting actress y ,1
"Menurut laporan terkini, kapal selam itu ditemui pecah 3 bahagian di dasar laut Bali dan semua 53 kru disahkan meniâ€¦ https://t.co/Rfudq9xyPt","laporan menurut kapal terkini, selam itu ditemui pecah <number> di laut bali dan semua <number> kru disahkan mensaya ... <url>",menurut laporan terkini kapal selam itu ditemui pecah bahagian di dasar laut bali dan semua kru disahkan meni ,-1
Yang di-Pertuan Agong dan Raja Permaisuri Agong berdukacita dan menzahirkan ucapan takziah kepada Indonesia susulanâ€¦ https://t.co/caoLqe3jO3,yang di-pertuan agong dan raja permaisuri agong berdukaita dan ucapan takziah ke indonesia ... <url>,yang di pertuan agong dan raja permaisuri agong berdukacita dan menzahirkan ucapan takziah kepada indonesia susulan ,-1
Ia merupakan projek perintis pembelajaran digital tanggungjawab sosial korporat yang diumumkan dalam Belanjawan 2021.,ia merupakan projek perinti pembelajaran bertanggungjawab terhadap digital sosial korporat yang diumumkan dalam belanjawan <number>.,ia merupakan projek perintis pembelajaran digital tanggungjawab sosial korporat yang diumumkan dalam belanjawan ,0
"50,000 murid sekolah bakal terima peranti pintar akhir bulan depan di bawah inisiatif Cerdik.

Sejumlah 100,000 lagâ€¦ https://t.co/6xrCdxEu6d",<number> murid sekolah akan menerima peranti pintar akhir bulan depan di bawah inisiatif cerdik. sejumlah <number> lag ... <url>, murid sekolah bakal terima peranti pintar akhir bulan depan di bawah inisiatif cerdik sejumlah lag ,0
Kelonggaran untuk pekerja Malaysia di Singapura yang telah dapat suntikan vaksin #COVID19 untuk pulang sambut Aidilâ€¦ https://t.co/jp3UQH8y0P,kelonggaran untuk pekerja malaysia di singapura yang telah dapat suntikan <hashtag>covid19</hashtag> untuk pulang sambut aidil ... <url>,kelonggaran untuk pekerja malaysia di singapura yang telah dapat suntikan vaksin untuk pulang sambut aidil ,1
